date,equity,realized_pnl,fees_paid,slippage_paid,margin_used,n_positions,pnl_by_symbol
2026-09-16,3000000.0,0.0,0.0,0.0,0.0,0,{}
2026-09-17,2996594.9119999995,0.0,230.088,1135.0,290040.00000000006,14,"{""AL"": -225.0, ""C"": 2400.0, ""J"": 450.0, ""JD"": 40.0, ""M"": 0.0, ""MA"": -3420.0, ""NI"": 330.0, ""P"": 1020.0, ""RB"": -120.0, ""SA"": -240.0, ""SR"": 950.0, ""TA"": -2880.0, ""V"": 720.0, ""Y"": -2200.0}"
2026-09-18,2972867.1119999997,200.0,257.88800000000003,1345.0,328526.35000000003,15,"{""C"": 2400.0, ""J"": -7950.0, ""JD"": 1160.0, ""M"": -12240.0, ""MA"": -4320.0, ""NI"": -980.0, ""P"": 3600.0, ""RB"": 960.0, ""SA"": -960.0, ""SR"": 1350.0, ""TA"": -8370.0, ""V"": 6000.0, ""Y"": -5600.0, ""AL"": 1200.0, ""CF"": -150.0}"
2026-09-21,2954966.874,-2530.0,363.126,1785.0,429887.8,16,"{""C"": 2880.0, ""JD"": 200.0, ""M"": -9120.0, ""MA"": -2610.0, ""NI"": 320.0, ""P"": 930.0, ""RB"": -420.0, ""SA"": -2360.0, ""SR"": -0.0, ""TA"": -2550.0, ""V"": -1160.0, ""Y"": -400.0, ""AL"": -1100.0, ""CF"": -175.0, ""CU"": 550.0, ""I"": -50.0}"
2026-09-22,2962351.1499999994,-3190.0,388.84999999999997,1900.0,415584.55000000005,16,"{""C"": 240.0, ""JD"": 2280.0, ""M"": 4560.0, ""MA"": -1980.0, ""P"": 70.0, ""RB"": -520.0, ""SA"": -1440.0, ""SR"": -1200.0, ""TA"": 180.0, ""V"": -520.0, ""Y"": 2450.0, ""AL"": -975.0, ""CF"": -275.0, ""CU"": 6300.0, ""I"": -400.0, ""NI"": -700.0}"
