date,equity,realized_pnl,fees_paid,slippage_paid,margin_used,n_positions,pnl_by_symbol
2026-09-16,3000000.0,0.0,0.0,0.0,0.0,0,{}
2026-09-17,2995318.293,0.0,126.707,535.0,193774.1,7,"{""AL"": -225.0, ""CU"": 400.0, ""MA"": -3420.0, ""NI"": 990.0, ""SA"": -180.0, ""TA"": -3200.0, ""V"": 1080.0}"
2026-09-18,2995586.323,200.0,138.677,620.0,208974.0,7,"{""CU"": 7100.0, ""MA"": -4260.0, ""NI"": -2940.0, ""SA"": -720.0, ""TA"": -9300.0, ""V"": 9000.0, ""AL"": 1200.0}"
2026-09-21,2989983.323,200.0,141.677,645.0,222183.44999999998,7,"{""CU"": 2150.0, ""MA"": -2600.0, ""NI"": 960.0, ""SA"": -720.0, ""TA"": -2700.0, ""V"": -1740.0, ""AL"": -950.0}"
2026-09-22,2989210.323,-280.0,159.677,705.0,223072.6,7,"{""CU"": 6300.0, ""MA"": -2200.0, ""SA"": -720.0, ""TA"": 200.0, ""V"": -780.0, ""AL"": -975.0, ""NI"": -2100.0}"
