version,variant,全样本年化,全样本夏普(月),全样本夏普(日),全样本回撤,全样本月波动年化,全样本日波动年化,IS年化,IS夏普(月),IS夏普(日),IS回撤,IS月波动年化,IS日波动年化,OOS年化,OOS夏普(月),OOS夏普(日),OOS回撤,OOS月波动年化,OOS日波动年化,换手,费+滑,未成交腿,未盯市日
v0.1,A_legacy_close,0.09156190924329,0.8396002422119841,0.8420301987241198,-0.14266804086415197,0.10989076721425509,0.11589932214410914,0.14789224590914452,1.274293013273876,1.293989625290758,-0.12534762247542297,0.11209184170763485,0.11549001647058318,0.039335471257969656,0.311806360105546,0.40022692004964816,-0.11962702872860453,0.10778058168448593,0.117783834123408,52.558644059503145,0.01688466528334766,6.0,0.0
v0.1,B_unified_close,0.08956056338856344,0.8308696031814757,0.8263546519627284,-0.1462884406760101,0.10859158723544265,0.11577678435854359,0.1433603717947829,1.2584184461821473,1.2600538452413976,-0.1235048318119154,0.1100440966281705,0.11533562109306963,0.04068751193692144,0.31866522054259744,0.4118931120947295,-0.11822393288654465,0.10718043231138447,0.11771831050463086,51.64907623274161,0.01664351788136064,7.0,0.0
v0.1,C_unified_official_fixedpath,0.09043069822789085,0.8421150138165561,0.9767254693659786,-0.1338909293902748,0.10865925293036055,0.09672422074013083,0.14201287073385438,1.2564600252077787,1.454985169016007,-0.12114128958404036,0.1099773336001354,0.0977565943697594,0.04168410478718121,0.3363334364008266,0.49186710623860924,-0.11712584233692369,0.10757019605801545,0.09584806193216318,51.557790417099696,0.016614410585104336,7.0,0.0
v0.1,D_unified_official,0.0934064205490488,0.8682150804025148,1.0064872562897618,-0.12628716099230042,0.10854517702791797,0.09666795257816077,0.14230129201102582,1.2517557752221506,1.458856467787735,-0.12383628022452631,0.11065543336341399,0.0976708721338756,0.04454409371312762,0.3708906842513964,0.522480056730567,-0.11510755766081593,0.10678091155021747,0.09566828514378292,51.517375864436666,0.016593833425251545,14.0,0.0
v0.3,A_legacy_close,0.125986450363206,1.0969739474259814,1.1041930233782402,-0.14024555098021607,0.11460183182652836,0.11775218268047989,0.20448347051953975,1.6721650164111956,1.6925051546133465,-0.13270664283809397,0.11704321892478717,0.11790653411655798,0.043769344658393994,0.3318045600707104,0.43514873903973594,-0.14024555098021607,0.10936352341938585,0.11880340770949163,65.14399482412466,0.020923259138675324,5.0,0.0
v0.3,B_unified_close,0.12683386372149918,1.095106965684113,1.1099434581460907,-0.13942236165809785,0.11559533474802001,0.11785636693146513,0.2038524576166476,1.655264649390611,1.684959011339061,-0.1361662188761753,0.1179766574915081,0.1181282059796808,0.047104520190474064,0.3575956148535439,0.46340647252964046,-0.13942236165809785,0.11075703532373625,0.11870750380029625,64.1920123364882,0.02060636296206803,6.0,0.0
v0.3,C_unified_official_fixedpath,0.12706880718722746,1.0834415057610405,1.3043173550885658,-0.14028229530175795,0.11744451926534587,0.09887944831586476,0.20288786739446674,1.623730884617041,1.9657914197566801,-0.13511795293868845,0.12020673849493131,0.09981473331987877,0.04616180532660241,0.3569475426341331,0.5301186524528717,-0.14028229530175795,0.11241049789257537,0.09770040869552152,64.1170291509215,0.020582347161820398,4.0,0.0
v0.3,D_unified_official,0.1266115082046253,1.0765174029847828,1.2977582748229264,-0.14433051310403766,0.11786696040070538,0.09906930662988517,0.20215880265548192,1.6154110657484397,1.9572463602616565,-0.13134257731251275,0.12045917859389442,0.09993582711771602,0.045945501210195916,0.3518113968424939,0.5267883231911669,-0.14433051310403766,0.11300374772787039,0.09795736882147892,64.24127361464886,0.020638678596218377,10.0,0.0
v0.3p,A_legacy_close,0.11314373976834369,0.9630871054393473,1.0139528200544092,-0.2674733809679337,0.11883776425031414,0.11633030371226312,0.2300974031723675,1.8058300580216895,1.8904736310577344,-0.1273109492658624,0.12042518035703291,0.1170357652681721,0.00469594401886364,-0.027950625006259243,0.10007554612501317,-0.2674733809679337,0.10676193700208858,0.11609783378479767,61.81163729733545,0.02035872518418305,5.0,0.0
v0.3p,B_unified_close,0.11301137679687812,0.9676102487271607,1.0155176838459128,-0.26736586269503204,0.11808562241326573,0.11599042739011461,0.23103630810260567,1.8370787587298671,1.9048523651740754,-0.1138242314760135,0.11871257507897817,0.11653598764181097,0.0033010474873143014,-0.040465281808707204,0.08756337552157602,-0.26736586269503204,0.1068489370292344,0.11589948584415172,60.73196921071731,0.020029782935264362,5.0,0.0
v0.3p,C_unified_official_fixedpath,0.11344861134795092,0.9688432664287506,1.1967453122938427,-0.26385757200983384,0.11864925175368744,0.09707824244494453,0.22980698082836803,1.8031001194559941,2.2073876968592643,-0.11471403002957903,0.12077442011910974,0.09925021796707705,0.0031262471948525494,-0.03384884257335337,0.08145310438058571,-0.26385757200983384,0.10598796700215771,0.09374194751221529,60.68353811142785,0.020013921152398133,4.0,0.0
v0.3p,D_unified_official,0.1128963293694265,0.9602217242023959,1.1919946860397144,-0.26682648816247967,0.11926861322835332,0.0970290974369124,0.2278154859754482,1.775482096993041,2.188342657604114,-0.11781217819717327,0.12178253972190353,0.09935146079912334,0.004320079546068056,-0.023663963054723673,0.0946731072312762,-0.26682648816247967,0.10628984410928553,0.09348365801033931,60.62366447061149,0.020013633629745686,8.0,0.0
v0.1r,A_legacy_close,0.09586688919499697,0.8839940951212469,0.8805755477752737,-0.12754185715749877,0.10871003650684893,0.11539698104527318,0.17036431477477953,1.4646945849833413,1.452830991056862,-0.12142773952842056,0.1109607719043599,0.11678557399158115,0.0239734376252716,0.17909462184834432,0.27222419298056866,-0.12754185715749877,0.10446913719535093,0.11494320084073861,53.24469860266892,0.017071604564590604,7.0,0.0
v0.1r,B_unified_close,0.09636924541642267,0.8902690087946643,0.8821071548341347,-0.1290533589236842,0.10836732836241358,0.11578698927388814,0.17191709266089483,1.4865044607919553,1.4628016456521316,-0.12610938251088355,0.11012047258113515,0.11694060371893997,0.025565644894818274,0.19468178289128074,0.2854157184047766,-0.1227053968737829,0.10437440666463632,0.1155488894328833,52.600054115290376,0.016871698306068154,6.0,0.0
v0.1r,C_unified_official_fixedpath,0.09674872301199855,0.9063079893051286,1.0363433201129333,-0.12382283653626158,0.107213926187308,0.09696618792430531,0.17067359138653404,1.4859322701192568,1.6927257199083652,-0.12310569342950095,0.11004148348189573,0.09927872265612915,0.025525037463223654,0.20550967451841987,0.32605361236282465,-0.12125492827305673,0.1019745052670085,0.09411550055776194,52.50797860386001,0.016841925127276856,6.0,0.0
v0.1r,D_unified_official,0.09827842055647018,0.9175295723717911,1.05253944100198,-0.12296234999872513,0.10746522968652061,0.09683615134766153,0.16992217341681126,1.4724108082185963,1.6882916512373882,-0.12126857944241276,0.11065159830649152,0.09913738484357254,0.028028238957293006,0.22895029998928382,0.3540863681890616,-0.12296234999872513,0.10212528696357784,0.09374193545158191,52.64483491560512,0.016890437038103005,12.0,0.0
v0.5,A_legacy_close,0.11384477806535442,0.9569121167978045,1.0193997972389535,-0.20789205126226007,0.12114854588466718,0.11633988039612458,0.12262533978408441,0.972153393698927,1.1129034832682596,-0.20789205126226007,0.12971189467821667,0.11334547948383528,0.09813177689772234,0.7587390933682828,0.867911095718882,-0.18164419739784032,0.11121543690539999,0.12079546616941579,50.91705406244961,0.013853920139007027,3.0,0.0
v0.5,B_unified_close,0.11671907101916879,0.9678541178600568,1.0381907309253908,-0.20927115220432324,0.12268504241233535,0.11686772472061799,0.12445529037006797,0.9802857909511996,1.119441111458887,-0.20927115220432324,0.13049111467414024,0.11428505029610062,0.10366409374603047,0.7864128078555799,0.9107058012679692,-0.17023143011597763,0.11432735125999924,0.12087938479535673,49.41062513896434,0.013527994434402333,2.0,0.0
v0.5,C_unified_official_fixedpath,0.11670449357170654,0.9797011062850094,1.1874764684323103,-0.20464247511696254,0.12160568743218124,0.10068414822070079,0.12320752165402027,1.003950348817038,1.2535478877977537,-0.20464247511696254,0.12691424370108784,0.09991505943462324,0.1036536726847559,0.7792564707547034,1.0612412976935628,-0.17302800469243407,0.11596427197681185,0.10172055242929903,49.40181455406713,0.013525632146136708,1.0,0.0
v0.5,D_unified_official,0.11732806899540349,0.9850564825664365,1.195202669685587,-0.20271590505526615,0.1215044530192083,0.10050274385654413,0.12433688133493237,1.011969914413149,1.2685966310714012,-0.20271590505526615,0.12692477498185428,0.099518797343006,0.10386491354463145,0.7825978311701726,1.062793124763183,-0.17334310594809876,0.11568194973849699,0.10176430934910852,49.47309322121641,0.013572657026726753,3.0,0.0
