date,equity,realized_pnl,fees_paid,slippage_paid,margin_used,n_positions,pnl_by_symbol
2026-09-16,3000000.0,0.0,0.0,0.0,0.0,0,{}
2026-09-17,2996922.7975,0.0,267.2025,1140.0,354735.80000000005,17,"{""AL"": -450.0, ""C"": 2560.0, ""CF"": -1650.0, ""CU"": 400.0, ""I"": 300.0, ""J"": 450.0, ""JD"": 50.0, ""M"": 0.0, ""MA"": -3420.0, ""NI"": 330.0, ""P"": 1020.0, ""RB"": -240.0, ""SA"": -80.0, ""SR"": 1520.0, ""TA"": -2560.0, ""V"": 720.0, ""Y"": -1760.0}"
2026-09-18,2990866.5974999997,400.0,303.4025,1400.0,394647.5,17,"{""C"": 2570.0, ""CF"": -900.0, ""CU"": 7100.0, ""I"": -700.0, ""J"": -7950.0, ""JD"": 1450.0, ""M"": -5610.0, ""MA"": -4320.0, ""NI"": -980.0, ""P"": 3940.0, ""RB"": 1920.0, ""SA"": -320.0, ""SR"": 2100.0, ""TA"": -7440.0, ""V"": 6000.0, ""Y"": -4480.0, ""AL"": 1200.0}"
2026-09-21,2982865.1845,-1705.0,344.8155,1625.0,412440.20000000007,17,"{""C"": 3240.0, ""CF"": 175.0, ""CU"": 2150.0, ""I"": -300.0, ""J"": -1050.0, ""JD"": 360.0, ""M"": -3040.0, ""MA"": -2340.0, ""NI"": 320.0, ""P"": 1240.0, ""RB"": -320.0, ""SA"": -920.0, ""SR"": -330.0, ""TA"": -2160.0, ""V"": -1620.0, ""Y"": -160.0, ""AL"": -1100.0}"
2026-09-22,2989501.7535,-2365.0,373.24649999999997,1745.0,410388.55000000005,17,"{""C"": 270.0, ""CF"": 275.0, ""CU"": 6300.0, ""I"": 800.0, ""J"": 1200.0, ""JD"": 2660.0, ""M"": 1520.0, ""MA"": -1980.0, ""P"": 680.0, ""RB"": -650.0, ""SA"": -400.0, ""SR"": -1650.0, ""TA"": 100.0, ""V"": -780.0, ""Y"": 980.0, ""AL"": -1300.0, ""NI"": -700.0}"
