date,equity,realized_pnl,fees_paid,slippage_paid,margin_used,n_positions,pnl_by_symbol
2026-09-16,3000000.0,0.0,0.0,0.0,0.0,0,{}
2026-09-17,2997905.8409999995,0.0,259.159,1045.0,339704.19999999995,14,"{""AL"": -225.0, ""C"": 4320.0, ""CF"": -1650.0, ""CU"": 400.0, ""I"": 300.0, ""J"": 450.0, ""JD"": 40.0, ""MA"": -3420.0, ""NI"": 660.0, ""P"": 1530.0, ""RB"": -360.0, ""TA"": -3200.0, ""V"": 1080.0, ""Y"": -1760.0}"
2026-09-18,2999643.3409999995,-400.0,281.659,1200.0,375860.49999999994,14,"{""C"": 3810.0, ""CF"": -450.0, ""CU"": 7100.0, ""I"": -700.0, ""J"": -7950.0, ""JD"": 1160.0, ""MA"": -4320.0, ""NI"": -1960.0, ""P"": 5570.0, ""RB"": 2880.0, ""TA"": -9300.0, ""V"": 9000.0, ""Y"": -4480.0, ""AL"": 1800.0}"
2026-09-21,2997782.7929999996,-920.0,307.207,1285.0,440802.30000000005,15,"{""C"": 3360.0, ""CF"": 175.0, ""CU"": 2150.0, ""I"": -300.0, ""J"": -1050.0, ""JD"": 200.0, ""MA"": -2610.0, ""NI"": 640.0, ""P"": 1550.0, ""RB"": -480.0, ""TA"": -2700.0, ""V"": -1740.0, ""Y"": -160.0, ""AL"": -1350.0, ""SN"": 1000.0}"
2026-09-22,3006155.3249999997,-1840.0,334.675,1390.0,420122.95000000007,15,"{""C"": 280.0, ""CF"": 275.0, ""CU"": 6300.0, ""I"": 800.0, ""J"": 1200.0, ""JD"": 2280.0, ""MA"": -2200.0, ""P"": 850.0, ""RB"": -1040.0, ""TA"": 200.0, ""V"": -780.0, ""Y"": 980.0, ""AL"": -975.0, ""SN"": 2550.0, ""NI"": -1400.0}"
2026-09-23,2989776.835,115.0,363.165,1555.0,394204.35000000003,14,"{""C"": -2520.0, ""CU"": 550.0, ""I"": -1200.0, ""J"": -1150.0, ""JD"": -360.0, ""MA"": -6200.0, ""P"": 1190.0, ""RB"": 320.0, ""TA"": -6000.0, ""V"": -660.0, ""Y"": -380.0, ""AL"": -225.0, ""SN"": 1710.0, ""NI"": -3380.0}"
2026-09-24,2996099.379,115.0,375.62100000000004,1595.0,402543.00000000006,14,"{""C"": 1960.0, ""CU"": -2750.0, ""I"": 800.0, ""J"": -1300.0, ""JD"": -1440.0, ""MA"": 2500.0, ""P"": -470.0, ""RB"": 600.0, ""TA"": 6400.0, ""V"": -960.0, ""Y"": 320.0, ""AL"": 225.0, ""SN"": -1150.0, ""NI"": 1600.0}"
